mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	2/4	1	1	.g.i[i{	g	i	i	i	i						{	m	1	1	0, -3, 1		0	0
1	1	1/4	1/4	2/4	1	1	iv	g	i	i	iv	iv							m	1	1	-1, -4, 0		-1	-1
2	2	0	0	2/4	1	1	i	g	i	i	i	i							m	1	1	0, -3, 1		0	0
2	2	1/4	1/4	2/4	1	1	V43	g	i	i	V43	V		43					Mm7	1	1	2, -1, 1, 5		1	2
3	3	0	0	2/4	1	1	i	g	i	i	i	i							m	1	1	0, -3, 1		0	0
3	3	1/4	1/4	2/4	1	1	#viio43	g	i	i	#viio43	#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1
4	4	0	0	2/4	1	1	i	g	i	i	i	i							m	1	1	0, -3, 1		0	0
4	4	1/4	1/4	2/4	1	1	V43(4)	g	i	i	V43(4)	V		43	4				Mm7	1	1	2, -1, 1, 0		1	2
4	4	7/16	7/16	2/4	1	1	V43	g	i	i	V43	V		43					Mm7	1	1	2, -1, 1, 5		1	2
5	5	0	0	2/4	1	1	i]}	g	i	i	i	i						}	m	1	1	0, -3, 1		0	0
5	5	1/8	1/8	2/4	1	1	{	g	i									{		1	1				
5	5	1/4	1/4	2/4	1	1	V65	g	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
6	6	0	0	2/4	1	1	i	g	i		i	i							m	1	1	0, -3, 1		0	0
6	6	1/4	1/4	2/4	1	1	V65(4)	g	i		V65(4)	V		65	4				Mm7	1	1	0, 2, -1, 1		1	0
6	6	7/16	7/16	2/4	1	1	V65	g	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
7	7	0	0	2/4	1	1	V(64)	g	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
7	7	1/4	1/4	2/4	1	1	V2	g	i		V2	V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
8	8	0	0	2/4	1	1	i6	g	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
8	8	1/4	1/4	2/4	1	1	V65/iv	g	i		V65/iv	V		65		iv			Mm7	1	1	4, 1, -2, 0		0	4
9	9	0	0	2/4	1	1	iv(4)	g	i		iv(4)	iv			4				m	1	1	-1, -2, 0		-1	-1
